"","name","p","z","n","ptoz","pton","ztop","zton","ntop","ntoz"
"1"," Afghanistan",2,17,0,1,0,1,0,0,0
"2"," Albania",5,12,2,4,0,3,2,1,1
"3"," Algeria",1,17,1,1,0,1,1,0,1
"4"," Andorra",2,14,3,1,1,2,1,0,1
"5"," Angola",3,13,3,2,0,3,1,0,1
"6"," Antigua and Barbuda",1,17,1,0,1,1,0,0,1
"7"," Argentina",2,17,0,1,0,2,0,0,0
"8"," Armenia",3,16,0,1,0,2,0,0,0
"9","Australian Capital Territory Australia",1,17,1,1,0,1,1,0,1
"10","New South Wales Australia",2,15,2,0,1,1,0,0,1
"11","Northern Territory Australia",2,16,1,1,0,1,1,0,1
"12","Queensland Australia",1,17,1,1,0,1,1,0,1
"13","South Australia Australia",1,17,1,1,0,1,1,0,1
"14","Tasmania Australia",1,15,3,0,1,1,1,0,2
"15","Victoria Australia",2,15,2,0,1,1,0,0,1
"16","Western Australia Australia",2,16,1,0,1,1,0,0,1
"17"," Austria",1,17,1,1,0,1,1,0,1
"18"," Azerbaijan",2,17,0,0,0,1,0,0,0
"19"," Bahamas",2,15,2,2,0,1,2,1,1
"20"," Bahrain",2,17,0,2,0,2,0,0,0
"21"," Bangladesh",3,16,0,1,0,2,0,0,0
"22"," Barbados",2,16,1,1,1,2,0,0,1
"23"," Belarus",2,17,0,2,0,2,0,0,0
"24"," Belgium",1,17,1,1,0,1,1,0,1
"25"," Benin",1,17,1,1,0,0,1,1,0
"26"," Bhutan",2,16,1,1,1,2,0,0,0
"27"," Bolivia",2,17,0,1,0,1,0,0,0
"28"," Bosnia and Herzegovina",3,15,1,1,0,2,1,0,1
"29"," Brazil",2,17,0,2,0,2,0,0,0
"30"," Brunei",1,18,0,1,0,1,0,0,0
"31"," Bulgaria",1,18,0,0,0,1,0,0,0
"32"," Burkina Faso",2,16,1,2,0,2,1,0,1
"33"," Cabo Verde",4,13,2,1,1,3,1,0,2
"34"," Cambodia",2,16,1,0,1,1,0,0,1
"35"," Cameroon",2,16,1,0,1,1,0,1,0
"36","Alberta Canada",1,17,1,1,0,1,1,0,1
"37","British Columbia Canada",1,18,0,1,0,1,0,0,0
"38","Grand Princess Canada",1,17,1,0,1,1,0,0,1
"39","Manitoba Canada",1,17,1,1,0,1,1,0,1
"40","New Brunswick Canada",1,17,1,0,1,1,0,0,1
"41","Newfoundland and Labrador Canada",1,17,1,0,1,1,0,0,1
"42","Nova Scotia Canada",1,16,2,1,0,1,1,0,1
"43","Ontario Canada",3,15,1,1,1,2,0,0,1
